Country,Year,PM25
PE,2016,83.47849462365592
PE,2017,79.2937062937063
PE,2018,77.49450549450549
PE,2019,74.12803942089656
PE,2020,63.9093856292517
PE,2021,79.24234693877551
PH,2018,54.065
PH,2019,48.83487871674491
PH,2021,41.05813953488372
PK,2019,132.67548076923077
PK,2020,124.9742083623222
PK,2021,138.57195830216045
PL,2015,67.1912260967379
PL,2016,68.84782608695652
PL,2017,72.17921321029625
PL,2018,72.08940231039679
PL,2019,60.57635954462416
PL,2020,56.7777666830541
PL,2021,60.000511937812945
PR,2019,41.224962450374115
PR,2020,38.925925925925924
PR,2021,55.80025886037049
PT,2015,44.25806451612903
PT,2016,31.003134796238246
PT,2017,41.214983713355046
PT,2018,36.43601895734597
PT,2019,27.9444978787811
PT,2020,27.393046874088405
PT,2021,26.445191273070012
RE,2015,16.132275132275133
RE,2016,36.49197860962567
RE,2017,24.46031746031746
RE,2018,29.846625766871167
RE,2019,34.43916797488226
RE,2020,23.53093112244898
RE,2021,22.901307397959183
RO,2015,46.68854961832061
RO,2016,56.725806451612904
RO,2017,69.73076923076923
RO,2020,68.07142857142857
RO,2021,55.73979591836735
RS,2015,25.46969696969697
RS,2016,60.70842824601367
RS,2017,76.19962335216573
RS,2018,72.04691358024691
RS,2019,71.67330610099022
RS,2020,69.35045155993433
RS,2021,65.03656462585033
RU,2015,39.98395721925134
RU,2016,37.28735632183908
RU,2017,32.455026455026456
RU,2018,37.166666666666664
RU,2019,43.02520905798217
RU,2020,43.931834605437295
RU,2021,45.27384173874529
SA,2019,108.79884634266077
SA,2020,100.19308308955179
SA,2021,122.51927171515058
SE,2015,16.98780487804878
SE,2016,33.21857923497268
SE,2017,23.85142857142857
SE,2018,34.182330827067666
SE,2019,29.03620073489943
SE,2020,24.764087024029386
SE,2021,24.534062591221975
SG,2015,51.1551724137931
SG,2016,51.973262032085564
SG,2017,48.25396825396825
SG,2018,50.46666666666667
SG,2019,55.0410125588697
